packweight,flav_intense,flav_eval,purchase,sex,age
2,6,5.666666667,2.99,1,21
2,5,5.333333333,5,1,24
1,4,6,4.5,1,24
2,5,4.333333333,4.5,1,27
1,3,5.333333333,2.5,2,23
1,5,3.666666667,4,2,22
2,7,6.333333333,3.49,2,24
1,6,5.666666667,4.5,1,25
2,6,5.333333333,4.49,2,24
2,4,3.666666667,2,2,20
2,5,5,5,1,20
2,6,5.666666667,2,1,25
2,6,5.666666667,4.5,2,24
2,4,4,3.5,2,27
1,3,5,3.5,2,27
2,7,6.666666667,4,2,25
1,6,6,5,2,20
1,5,2,0.99,2,24
1,4,5.666666667,5,2,24
2,6,2.333333333,3,2,21
1,5,3,6.95,2,24
1,5,6.333333333,7,2,19
2,6,6.666666667,3.49,1,21
2,5,5.333333333,5,2,24
1,5,3.666666667,2.99,1,36
1,4,4.333333333,5,2,21
2,6,4.666666667,4,1,26
2,5,4.666666667,3.99,1,20
2,4,4.333333333,8,2,22
1,4,3.666666667,7,2,23
2,6,2.333333333,0.5,2,24
1,6,6.333333333,10,2,24
1,6,5.333333333,3,1,23
2,4,4.333333333,2,1,27
1,3,2.333333333,1.99,2,24
1,6,1,2.99,2,22
2,5,4.666666667,3.5,1,27
1,5,5,1.95,1,25
1,6,6.666666667,3.5,2,20
2,4,4,3.7,2,27
2,6,5.666666667,8,2,24
1,5,6.333333333,10,2,21
1,3,4,1.99,1,30
2,7,6.666666667,3.5,1,22
2,6,4,6,2,28
1,6,5.666666667,7,2,24
2,6,5,5,1,24
2,5,2.666666667,6,2,22
1,5,3,3,1,24
1,6,5.666666667,5,2,19
1,4,3.333333333,3,2,23
1,5,3,3.99,2,23
2,6,3,2.99,1,23
2,7,6.666666667,8,2,23
1,5,3,7.5,1,25
1,4,2.666666667,8,2,22
2,5,6.333333333,7.5,2,19
1,5,2.666666667,2.99,2,31
2,4,4.333333333,3.95,2,22
2,5,5.666666667,2.5,1,29
2,6,6.333333333,4,2,23
1,5,6.666666667,5,2,24
1,5,5,3,1,23
2,5,5,3,2,22
1,4,3.666666667,3.99,1,24
1,5,2.666666667,3,2,23
2,5,3,1.5,1,24
1,6,4.666666667,3,2,21
1,5,4.666666667,2.5,1,25
1,3,4.666666667,1.99,1,30
1,6,6,2.5,2,21
1,4,4,1.5,1,27
2,2,5.666666667,1,1,22
2,5,6.333333333,0.85,2,20
1,3,4,0.25,1,28
1,4,5.666666667,0.79,1,21
2,6,3,1,2,22
2,7,1.666666667,0,1,25
1,4,3,1,1,24
1,5,3.666666667,0.9,2,19
2,6,6,0.9,1,22
1,5,6,0.5,1,25
1,5,6,2,2,17
1,4,5.666666667,0.7,2,23
1,4,4.666666667,0.5,1,19
1,1,4.666666667,1,1,23
1,3,4.666666667,0.5,1,26
1,6,5.333333333,1,1,20
2,5,6.666666667,1.5,1,23
2,6,2.333333333,1,2,20
2,5,1.666666667,0.4,2,24
1,4,3.5,1,1,22
1,5,5,0.6,1,23
1,1,1.333333333,2,1,22
1,1,3.666666667,0.7,1,22
1,2,3,0.5,1,22
2,3,5.333333333,0.4,2,20
1,3,2.333333333,0.5,1,23
1,3,1.333333333,1,1,24
1,3,2.333333333,0.75,2,20
1,4,3,0.8,2,22
2,7,5,1.5,2,24
2,4,2.666666667,0.9,2,22
1,3,5,0.6,2,25
1,6,4.666666667,0.89,2,27
2,6,6.666666667,0.5,1,22
2,5,6.666666667,0.9,1,24
1,5,2.333333333,0.5,1,27
1,2,2.666666667,0.5,2,20
1,3,2.333333333,0.9,2,23
2,3,6,0.5,1,21
1,5,2.666666667,0.7,1,23
2,3,4.666666667,1.2,2,20
2,3,6.666666667,1,2,20
1,5,2,0.9,2,20
1,4,3.666666667,0.65,2,22
2,6,5,1,1,20
2,5,7,1.5,2,19
2,5,6,1.4,2,19
2,6,6.333333333,1.5,2,21
1,6,2.666666667,1,2,19
1,3,2.666666667,0.6,2,20
2,4,5.666666667,1.5,1,21
2,2,1.666666667,0.5,2,22
2,1,2.333333333,0.9,2,22
2,5,6,0.45,1,22
1,3,2,0,1,23
2,1,2,0.5,2,27
1,5,6.333333333,0.6,2,21
1,4,3,0.5,1,20
1,5,6.666666667,0.7,2,19
1,3,6,0.8,1,25
1,3,4,0.9,1,25
2,5,6,0.6,2,26
2,6,6.333333333,0.65,2,22
1,5,5.666666667,0.8,1,18
2,4,3,0.8,2,21
2,5,2.333333333,1,2,23
1,5,4,0.8,1,18
